Opcode Coverage Matrix
======================

Opcode                           1.05  2.03  2.06  2.07  3.00  3.01  3.05  3.06  3.07  3.08  3.09  3.10  3.11  3.12  3.13  3.14  
INPLACE_RSHIFT                    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
INPLACE_AND                       ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
INPLACE_OR                        ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
INPLACE_XOR                       ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
UNARY_POSITIVE                    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -   
PRINT_EXPR                        ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -   
LOAD_CLASSDEREF                   -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -   
STOP_CODE                         ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -   
ROT_TWO                           ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
ROT_THREE                         ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
ROT_FOUR                          ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    ✓    ✓    ✓    -    -    -    -   
ROT_N                             -    -    -    -    -    -    -    -    -    -    -    ✓    -    -    -    -   
DUP_TOP                           ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
DUP_TOP_TWO                       -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
UNARY_CONVERT                     ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -    -    -    -   
BINARY_DIVIDE                     ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -    -    -    -   
INPLACE_DIVIDE                    ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -    -    -    -   
SLICE_0                           ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -    -    -    -   
